kode_barang,Nama Produk,cabang,stok,harga_jual,kategori
1000028,Dark Luna 60ml - 6mg,Bangil,1,155000,liquid
1000077,Paradewa 60ml - Apple Zeus 3mg,Bangil,1,140000,liquid
1000116,LCV 60ml - Oat Crackers 3mg,Bangil,2,100000,liquid
1000119,LCV 60ml - Berry Cheesecake 3mg,Bangil,1,100000,liquid
1000121,LCV 60ml - Tiramisu 3mg,Bangil,1,100000,liquid
1000215,Lunar Hexohm 60ml - Strawberry Cheesecake 3mg,Bangil,1,155000,liquid
1000216,Lunar Hexohm 60ml - Strawberry Cheesecake 6mg,Bangil,2,155000,liquid
1000240,Bule Bolu 60ml - 3mg,Bangil,1,155000,liquid
1000263,Oat Drips Pod Friendly 30ml - Milk Cereal 15mg,Bangil,1,110000,liquid
1000361,Dark Luna 60ml - 3mg,Bangil,1,155000,liquid
1000544,NYC Hero57 Edition 60ml - Perfect Cheese 3mg,Bangil,2,155000,liquid
1000577,Tokyo Banana Signature 60ml - 3mg,Bangil,2,185000,liquid
1000578,Tokyo Banana Signature 60ml - 6mg,Bangil,1,185000,liquid
1000592,LCV 60ml - Strawberry Poundcake 6mg,Bangil,1,100000,liquid
1000593,LCV 60ml - Banana Hoki 6mg,Bangil,2,100000,liquid
1000688,Bananalicious 60ml - 6mg,Bangil,1,155000,liquid
1001040,Blackwood Tobacco 60ml - Vanilla Custard 3mg,Bangil,1,145000,liquid
1001260,American Fruity Pod Friendly 30ml - Mango 12mg,Bangil,1,100000,liquid
1001261,American Fruity Pod Friendly 30ml - Melon 12mg,Bangil,1,100000,liquid
1001688,Muffin and Xes 30ml - V1 Strawberry Cream Muffin 12mg,Bangil,1,110000,liquid
1001697,Cartridge + Liquid Ncig Tobacco - Classic Blanc 50mg,Bangil,1,240000,liquid
1001698,Cartridge + Liquid Ncig Tobacco - Premium Blanc 50mg,Bangil,1,240000,liquid
1001699,Cartridge + Liquid Ncig Tobacco - Royale Blanc 50mg,Bangil,1,240000,liquid
1001781,Roti Sisir 60ml - 3mg,Bangil,1,90000,liquid
1001782,Roti Sisir 60ml - 6mg,Bangil,1,90000,liquid
1001799,Foom Salt 30ml - Galapagos Soursop 30mg,Bangil,2,110000,liquid
1001873,Oat Drips 60ml - V1 Milk Cereal 3mg,Bangil,1,155000,liquid
1001874,Oat Drips 60ml - V1 Milk Cereal 6mg,Bangil,1,155000,liquid
1001957,American Fruity 60ml - Mango Smothies 3mg,Bangil,1,130000,liquid
1001964,Mystery 30ml - #1 6mg,Bangil,1,90000,liquid
1001965,Mystery 30ml - #1 9mg,Bangil,2,90000,liquid
1001998,Foom Salt 30ml - Fresh Honeydew 30mg,Bangil,1,110000,liquid
1002027,Kuah Sop Buah 60ml - 6mg,Bangil,1,140000,liquid
1002153,A La Carte Series 60ml - Cream Poundcake 3mg,Bangil,1,150000,liquid
1002154,A La Carte Series 60ml - Cream Poundcake 6mg,Bangil,1,150000,liquid
1002174,LCV 60ml Cake Lady - Perfect Strawberry Shortcake 3mg,Bangil,2,90000,liquid
1002175,LCV 60ml Cake Lady - Perfect Strawberry Shortcake 6mg,Bangil,2,90000,liquid
1002176,LCV 60ml Cake Lady - Steamed Banana Cake 3mg,Bangil,3,90000,liquid
1002177,LCV 60ml Cake Lady - Steamed Banana Cake 6mg,Bangil,2,90000,liquid
1002253,Mystery 30ml - #3 3mg,Bangil,1,90000,liquid
1002254,Mystery 30ml - #3 6mg,Bangil,3,90000,liquid
1002264,Proven by Suicide Bunny 60ml - 3mg,Bangil,1,190000,liquid
1002265,Proven by Suicide Bunny 60ml - 6mg,Bangil,1,190000,liquid
1002267,Una 60ml - Banana Cheesecake 6mg,Bangil,1,145000,liquid
1002270,Nikmat 30ml - V1 Puff Pastry Rolls Cream 15mg,Bangil,2,95000,liquid
1002272,Nikmat 60ml - V1 Puff Pastry Rolls Cream 6mg,Bangil,1,145000,liquid
1002307,Bit Drips 15ml - Zhifer Papermint 30mg,Bangil,3,75000,liquid
1002308,Foom Salt 30ml - Fresh Cola 30mg,Bangil,1,110000,liquid
1002309,Foom Salt 30ml - Iced Cappucino 30mg,Bangil,1,110000,liquid
1002310,Foom Salt 30ml - Iced Tea 30mg,Bangil,2,110000,liquid
1002415,Flamenco 60ml - Bon Bon Alpenlible 3mg,Bangil,1,150000,liquid
1002447,Icelands Saltnic 30ml - Watermelon 30mg,Bangil,1,100000,liquid
1002448,Blondies 60ml - V3 Blueberry Cheese Cream Bake 3mg,Bangil,1,150000,liquid
1002449,Blondies 60ml - V3 Blueberry Cheese Cream Bake 6mg,Bangil,1,150000,liquid
1002450,The O Rama 60ml - V1 Kaya Toast 3mg,Bangil,2,155000,liquid
1002456,Foom Salt Bubblegum Series 30ml - Pink Gummy 30mg,Bangil,1,110000,liquid
1002457,Foom Salt Bubblegum Series 30ml - Purple Gummy 30mg,Bangil,1,110000,liquid
1002458,Foom Salt Bubblegum Series 30ml - Yellow Gummy 30mg,Bangil,1,110000,liquid
1002486,Liquid Dead Squad 60ml - Enigmatic Pandemonium 3mg,Bangil,1,160000,liquid
1002566,LCV 60ml - Oat Crackers 6mg,Bangil,2,100000,liquid
1002592,Foom Salt 30ml - Barbados 30mg,Bangil,1,110000,liquid
1002594,Foom Salt 30ml - Ibiza 30mg,Bangil,1,110000,liquid
1002714,Nikmat 60ml - V2 Blueberry Rolls Pastry 6mg,Bangil,1,145000,liquid
1002782,Ketan Jinak 60ml - 3mg,Bangil,1,130000,liquid
1002784,Ketan Jinak 60ml - 9mg,Bangil,1,130000,liquid
1002794,Monster Vape Labs 60ml - Blackberry 3mg,Bangil,1,200000,liquid
